Заголовок,Страница,Район,Дата,Цена
Сдам долгосрочно 1 комнатную квартиру в Аркадии жк Гольфстрим,https://www.olx.ua/obyavlenie/sdam-dolgosrochno-1-komnatnuyu-kvartiru-v-arkadii-zhk-golfstrim-IDARiLc.html#8d46774f2b, Приморский,3  июль,14 000 грн.
сдам оренду комнату на длительний срок можно и посуточно,https://www.olx.ua/obyavlenie/sdam-orendu-komnatu-na-dlitelniy-srok-mozhno-i-posutochno-IDARd1s.html#8d46774f2b, Суворовский,3  июль,2 000 грн.
Сдам 2-х комн. кв. Новострой на Александровском пр./Мал. Арнаутская,https://www.olx.ua/obyavlenie/sdam-2-h-komn-kv-novostroy-na-aleksandrovskom-pr-mal-arnautskaya-IDARi6E.html#8d46774f2b, Приморский,3  июль,10 508 грн.
Срочно сдам 3 ком кв на Балковской,https://www.olx.ua/obyavlenie/srochno-sdam-3-kom-kv-na-balkovskoy-IDAhgGy.html#8d46774f2b, Приморский,3  июль,8 000 грн.
Сдам 1-ком. квартиру на ул.Пишоновская,https://www.olx.ua/obyavlenie/sdam-1-kom-kvartiru-na-ul-pishonovskaya-IDARhz4.html#8d46774f2b, Приморский,3  июль,10 000 грн.
сдам в аренду длительно,https://www.olx.ua/obyavlenie/sdam-v-arendu-dlitelno-IDARgdk.html#8d46774f2b, Приморский,3  июль,6 000 грн.
"Сдам квартиру ЖК Сабанский,2 ком.квартиру,премиум класса,в центре",https://www.olx.ua/obyavlenie/sdam-kvartiru-zhk-sabanskiy-2-kom-kvartiru-premium-klassa-v-tsentre-IDARfIg.html#8d46774f2b, Приморский,3  июль,20 988 грн.
Сдам квартиру у моря в Аркадии. У моря.,https://www.olx.ua/obyavlenie/sdam-kvartiru-u-morya-v-arkadii-u-morya-IDAReSY.html#8d46774f2b, Киевский,3  июль,13 117 грн.
Сдам 2-х к.кв. Французский б-р/Довженко,https://www.olx.ua/obyavlenie/sdam-2-h-k-kv-frantsuzskiy-b-r-dovzhenko-IDzM6ds.html#8d46774f2b, Приморский,3  июль,6 500 грн.
парк Победы Говорова/Зоопарковая,https://www.olx.ua/obyavlenie/park-pobedy-govorova-zooparkovaya-IDAtNm0.html#8d46774f2b, Приморский,3  июль,15 741 грн.
Актуально! Отличная квартира в центре города с евроремонтом,https://www.olx.ua/obyavlenie/aktualno-otlichnaya-kvartira-v-tsentre-goroda-s-evroremontom-IDAzagY.html#8d46774f2b, Приморский,3  июль,10 494 грн.
Сдам комнату на подселение 1 девочке с 25.08,https://www.olx.ua/obyavlenie/sdam-komnatu-na-podselenie-1-devochke-s-25-08-IDAReF2.html#8d46774f2b, Приморский,3  июль,2 000 грн.
Сдам комнату с хозяйкой ул. Колонтаевская/Садиковская,https://www.olx.ua/obyavlenie/sdam-komnatu-s-hozyaykoy-ul-kolontaevskaya-sadikovskaya-IDA8XxA.html#8d46774f2b, Приморский,3  июль,2 500 грн.
Сдам 3 ком квартиру на М. Жукова. Сити Центр,https://www.olx.ua/obyavlenie/sdam-3-kom-kvartiru-na-m-zhukova-siti-tsentr-IDAtN2m.html#8d46774f2b, Киевский,3  июль,10 000 грн.
ВПЕРВЫЕ!Сдам квартиру в 15 Жемчужине Ильфа и Петрова/Архтекторская,https://www.olx.ua/obyavlenie/vpervye-sdam-kvartiru-v-15-zhemchuzhine-ilfa-i-petrova-arhtektorskaya-IDARcyV.html#8d46774f2b, Киевский,3  июль,8 500 грн.
Сдам 1-к квартиру Канатная /Итальянский бульвар,https://www.olx.ua/obyavlenie/sdam-1-k-kvartiru-kanatnaya-italyanskiy-bulvar-IDAEBkU.html#8d46774f2b, Приморский,3  июль,10 000 грн.
"Сдам квартиру в Центре в новострое от""Кадор-групп",https://www.olx.ua/obyavlenie/sdam-kvartiru-v-tsentre-v-novostroe-ot-kador-grupp-IDzbq7u.html#8d46774f2b, Приморский,3  июль,13 135 грн.
Элитная квартира у парка Шевченко,https://www.olx.ua/obyavlenie/elitnaya-kvartira-u-parka-shevchenko-IDARaYQ.html#8d46774f2b, Киевский,3  июль,26 233 грн.
Сдам квартиру длительно,https://www.olx.ua/obyavlenie/sdam-kvartiru-dlitelno-IDARb44.html#8d46774f2b, Приморский,3  июль,10 561 грн.
Аренда 2 ком квартиры в Аркадии,https://www.olx.ua/obyavlenie/arenda-2-kom-kvartiry-v-arkadii-IDABItv.html#8d46774f2b, Приморский,3  июль,18 364 грн.
На лето! в 8 жемчужине! Французский бульвар,https://www.olx.ua/obyavlenie/na-leto-v-8-zhemchuzhine-frantsuzskiy-bulvar-IDARat8.html#8d46774f2b, Приморский,3  июль,14 521 грн.
Сдам квартиру длительно,https://www.olx.ua/obyavlenie/sdam-kvartiru-dlitelno-IDARat2.html#8d46774f2b, Приморский,3  июль,12 000 грн.
Сдам 2 комн.кв. Ак. Королева \ Ак. Глушко,https://www.olx.ua/obyavlenie/sdam-2-komn-kv-ak-koroleva-ak-glushko-IDAtI9u.html#8d46774f2b, Киевский,3  июль,7 000 грн.
Сдам 3-х комн квартиру,https://www.olx.ua/obyavlenie/sdam-3-h-komn-kvartiru-IDAUfGe.html#905e902f3f;promoted, Малиновский,Сегодня 00:28,13 171 грн.
Сдам с 6 июля в центре 16 Жемчужину на АСТАШКИНА/ЛЬВА ТОЛСТОГО!,https://www.olx.ua/obyavlenie/sdam-s-6-iyulya-v-tsentre-16-zhemchuzhinu-na-astashkina-lva-tolstogo-IDzJ7MU.html#905e902f3f;promoted, Приморский,Вчера 12:00,12 000 грн.
Сдам прекрасную квартиру в Одессе просп.Шевченко/ул. Семинарская,https://www.olx.ua/obyavlenie/sdam-prekrasnuyu-kvartiru-v-odesse-prosp-shevchenko-ul-seminarskaya-IDASgii.html#905e902f3f;promoted, Приморский,4  июль,9 000 грн.
Сдам 1-ую в ЖМ Радужный. Свободна!,https://www.olx.ua/obyavlenie/sdam-1-uyu-v-zhm-raduzhnyy-svobodna-IDAkhwO.html#905e902f3f;promoted, Киевский,Вчера 15:03,7 000 грн.
"Сдам 2-х комн. кв. с ремонтом ,6/10 эт. кирп. дома, жм Котовского",https://www.olx.ua/obyavlenie/sdam-2-h-komn-kv-s-remontom-6-10-et-kirp-doma-zhm-kotovskogo-IDAwLwU.html#905e902f3f;promoted, Суворовский,4  июль,8 000 грн.
Сдам 3к улСреднеФонтанская\Центр Дом новый,https://www.olx.ua/obyavlenie/sdam-3k-ulsrednefontanskaya-tsentr-dom-novyy-IDAR9zo.html#905e902f3f, Приморский,3  июль,13 135 грн.
Сдам квартиру длительно,https://www.olx.ua/obyavlenie/sdam-kvartiru-dlitelno-IDAR99o.html#905e902f3f, Приморский,3  июль,7 870 грн.
"ЖК Гольстрим, ул Генуэзская 24Д белоснежная квартира в Аркадии",https://www.olx.ua/obyavlenie/zhk-golstrim-ul-genuezskaya-24d-belosnezhnaya-kvartira-v-arkadii-IDAR8Uy.html#905e902f3f, Приморский,3  июль,12 000 грн.
Сдам комнату в частном доме для 2 парней,https://www.olx.ua/obyavlenie/sdam-komnatu-v-chastnom-dome-dlya-2-parney-IDAR8HE.html#905e902f3f, Суворовский,3  июль,2 000 грн.
аренда ул.Б.Арнаутская - Пушкинская -Кадор,https://www.olx.ua/obyavlenie/arenda-ul-b-arnautskaya-pushkinskaya-kador-IDAQWw0.html#905e902f3f, Приморский,3  июль,19 000 грн.
Сдам срочно по договорной цене свою прекрасную квартиру с 3 разд ком,https://www.olx.ua/obyavlenie/sdam-srochno-po-dogovornoy-tsene-svoyu-prekrasnuyu-kvartiru-s-3-razd-kom-IDAR7q0.html#905e902f3f, Киевский,3  июль,"14 500 грн.

Договорная"
"Первая Аренда! Укомплектованная   квартира, Филатова 1196",https://www.olx.ua/obyavlenie/pervaya-arenda-ukomplektovannaya-kvartira-filatova-1196-IDuzw5A.html#905e902f3f, Малиновский,3  июль,11 500 грн.
"Сдам 3- х ком пр.Шевченко/Шампанский, в новом доме",https://www.olx.ua/obyavlenie/sdam-3-h-kom-pr-shevchenko-shampanskiy-v-novom-dome-IDAxQjA.html#905e902f3f, Киевский,3  июль,21 016 грн.
"Звездный Городок 2, Говорова, 22 этаж",https://www.olx.ua/obyavlenie/zvezdnyy-gorodok-2-govorova-22-etazh-IDAJqoU.html#905e902f3f, Приморский,3  июль,"12 000 грн.

Договорная"
Сдам комнату с хозяйкой Книжный переулок/Привоз,https://www.olx.ua/obyavlenie/sdam-komnatu-s-hozyaykoy-knizhnyy-pereulok-privoz-IDtlbas.html#905e902f3f, Приморский,3  июль,2 200 грн.
"Сдается 3-х комн. кв-ра,  новострой на Довженко",https://www.olx.ua/obyavlenie/sdaetsya-3-h-komn-kv-ra-novostroy-na-dovzhenko-IDzvBY6.html#905e902f3f, Приморский,3  июль,"26 233 грн.

Договорная"
"Сдам 2ком Дворянская/Коблевская, на лето",https://www.olx.ua/obyavlenie/sdam-2kom-dvoryanskaya-koblevskaya-na-leto-IDAR7c0.html#905e902f3f, Приморский,3  июль,11 806 грн.
сдам 3 к.кв. ул Крапивницкого/ 1 ст. Люстдорфской дор.,https://www.olx.ua/obyavlenie/sdam-3-k-kv-ul-krapivnitskogo-1-st-lyustdorfskoy-dor-IDAR6Xa.html#905e902f3f, Малиновский,3  июль,8 000 грн.
"Аренда новой 1-комн. квартиры, Фонтан, Ж/К ""Жемчужина-28""",https://www.olx.ua/obyavlenie/arenda-novoy-1-komn-kvartiry-fontan-zh-k-zhemchuzhina-28-IDyP5oy.html#905e902f3f, Приморский,3  июль,13 117 грн.
Сдам 2-х комн квартиру Марсельская,https://www.olx.ua/obyavlenie/sdam-2-h-komn-kvartiru-marselskaya-IDAR3ty.html#905e902f3f, Суворовский,3  июль,"6 000 грн.

Договорная"
Аренда квартиры на Французском бульваре,https://www.olx.ua/obyavlenie/arenda-kvartiry-na-frantsuzskom-bulvare-IDAKx1Y.html#905e902f3f;promoted, Приморский,3  июль,"26 402 грн.

Договорная"
Сдам 3-ком. кв. Говорова/Армейская,https://www.olx.ua/obyavlenie/sdam-3-kom-kv-govorova-armeyskaya-IDAR5l4.html#905e902f3f, Приморский,3  июль,8 000 грн.
Однокомнатная квартира в Одессе,https://www.olx.ua/obyavlenie/odnokomnatnaya-kvartira-v-odesse-IDAR4p4.html#905e902f3f, Киевский,3  июль,6 000 грн.
Сдам 1к.квартиру в Суворовском районе,https://www.olx.ua/obyavlenie/sdam-1k-kvartiru-v-suvorovskom-rayone-IDAR4VY.html#905e902f3f, Суворовский,3  июль,5 500 грн.
Сдам 2шку Таирово Королева,https://www.olx.ua/obyavlenie/sdam-2shku-tairovo-koroleva-IDAwai4.html#905e902f3f, Киевский,3  июль,6 500 грн.
"Сдам 1 комнатную кв, 46м2, с евроремонтом в Островах на Марсельской",https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kv-46m2-s-evroremontom-v-ostrovah-na-marselskoy-IDzFhA6.html#905e902f3f, Суворовский,3  июль,8 000 грн.
4к квартира Нежинская угол Спиридоновская,https://www.olx.ua/obyavlenie/4k-kvartira-nezhinskaya-ugol-spiridonovskaya-IDAR3KV.html#905e902f3f, Приморский,3  июль,17 052 грн.
Студия+спальня! Кадор! Вид на море,https://www.olx.ua/obyavlenie/studiya-spalnya-kador-vid-na-more-IDAKudY.html#905e902f3f, Суворовский,3  июль,10 000 грн.
"Валмакс/парк Шевченко, уютная квартира в элитном комплексе",https://www.olx.ua/obyavlenie/valmaks-park-shevchenko-uyutnaya-kvartira-v-elitnom-komplekse-IDxMBZg.html#905e902f3f, Приморский,3  июль,65 583 грн.
"Валмакс-элитный комплекс, 2х ком квартира, парк Шевченко",https://www.olx.ua/obyavlenie/valmaks-elitnyy-kompleks-2h-kom-kvartira-park-shevchenko-IDAf1Oc.html#905e902f3f, Приморский,3  июль,34 103 грн.
Сдам 2 комн. квартиру Семинарская /Канатная,https://www.olx.ua/obyavlenie/sdam-2-komn-kvartiru-seminarskaya-kanatnaya-IDuBLvQ.html#905e902f3f, Приморский,3  июль,6 500 грн.
"Маршала Говорова, жилой комплекс ""Академгородок""",https://www.olx.ua/obyavlenie/marshala-govorova-zhiloy-kompleks-akademgorodok-IDAR2Q2.html#905e902f3f, Приморский,3  июль,26 233 грн.
сдам однокомнатную квартиру,https://www.olx.ua/obyavlenie/sdam-odnokomnatnuyu-kvartiru-IDAR2JQ.html#905e902f3f, Киевский,3  июль,5 600 грн.
Сдам комнату без посредников парню на подселение,https://www.olx.ua/obyavlenie/sdam-komnatu-bez-posrednikov-parnyu-na-podselenie-IDAR2vC.html#905e902f3f, Киевский,3  июль,2 500 грн.
Сдам 2 ком квартиру на Базарной/Ониловый переулок Центр,https://www.olx.ua/obyavlenie/sdam-2-kom-kvartiru-na-bazarnoy-onilovyy-pereulok-tsentr-IDAR2cQ.html#905e902f3f, Приморский,3  июль,10 493 грн.
Сдам трехкомнатную квартиру на Черемушках,https://www.olx.ua/obyavlenie/sdam-trehkomnatnuyu-kvartiru-na-cheremushkah-IDAJCa0.html#905e902f3f, Малиновский,3  июль,7 800 грн.
"Сдам 3-х комн. квартиру класса люкс, Пастера.",https://www.olx.ua/obyavlenie/sdam-3-h-komn-kvartiru-klassa-lyuks-pastera-IDAJuPc.html#905e902f3f, Приморский,3  июль,15 762 грн.
Аренда 2 ком квартиры в новострое,https://www.olx.ua/obyavlenie/arenda-2-kom-kvartiry-v-novostroe-IDzJYJv.html#905e902f3f, Малиновский,3  июль,10 000 грн.
Сдам 1-х комнатную квартиру Королева!!,https://www.olx.ua/obyavlenie/sdam-1-h-komnatnuyu-kvartiru-koroleva-IDAPJa8.html#905e902f3f, Киевский,3  июль,6 000 грн.
"Сдам 1 комнатную на Космонавтов/10 квартал, после косметики, высотка",https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-na-kosmonavtov-10-kvartal-posle-kosmetiki-vysotka-IDAQYMa.html#905e902f3f, Малиновский,3  июль,5 000 грн.
"Сдам! 1 комн. квартиру Малиновский район-Мельницкая,",https://www.olx.ua/obyavlenie/sdam-1-komn-kvartiru-malinovskiy-rayon-melnitskaya-IDAfxDy.html#905e902f3f, Киевский,3  июль,3 500 грн.
Центр.М.Арнаутская/Преображенская,https://www.olx.ua/obyavlenie/tsentr-m-arnautskaya-preobrazhenskaya-IDA6EBS.html#905e902f3f, Приморский,3  июль,"6 000 грн.

Договорная"
Двух комнатная квартира на Французском бул,https://www.olx.ua/obyavlenie/dvuh-komnatnaya-kvartira-na-frantsuzskom-bul-IDzFxlg.html#905e902f3f, Приморский,3  июль,23 610 грн.
Сдам 1-ком на Глушко/И.Петрова,https://www.olx.ua/obyavlenie/sdam-1-kom-na-glushko-i-petrova-IDAQVKu.html#905e902f3f, Киевский,3  июль,5 500 грн.
3 ком Королева/Овен,https://www.olx.ua/obyavlenie/3-kom-koroleva-oven-IDALtAc.html#46ca7e50de;promoted, Киевский,Вчера 19:37,7 000 грн.
районАвтовокзала ул Боровского сдается 1квартира-студия,https://www.olx.ua/obyavlenie/rayonavtovokzala-ul-borovskogo-sdaetsya-1kvartira-studiya-IDywQkq.html#46ca7e50de;promoted, Киевский,4  июль,5 000 грн.
Сдам 1к.кв. Манежная/Ольгиевская,https://www.olx.ua/obyavlenie/sdam-1k-kv-manezhnaya-olgievskaya-IDAInsS.html#46ca7e50de;promoted, Приморский,2  июль,6 000 грн.
Сдам комнату свободна Центр Тираспольская Кузнечная,https://www.olx.ua/obyavlenie/sdam-komnatu-svobodna-tsentr-tiraspolskaya-kuznechnaya-IDAH7qv.html#46ca7e50de;promoted, Приморский,24  июнь,4 000 грн.
Сдается НЕДОРОГО 1 комн жилье для семьи с животным,https://www.olx.ua/obyavlenie/sdaetsya-nedorogo-1-komn-zhile-dlya-semi-s-zhivotnym-IDAo7I0.html#46ca7e50de;promoted, Киевский,7  июнь,4 000 грн.
однокомнатная квартира на месяц 8000 грн,https://www.olx.ua/obyavlenie/odnokomnatnaya-kvartira-na-mesyats-8000-grn-IDAQVJ0.html#46ca7e50de, Киевский,3  июль,"8 000 грн.

Договорная"
Аренда долгосрочно,https://www.olx.ua/obyavlenie/arenda-dolgosrochno-IDAIeSy.html#46ca7e50de, Киевский,3  июль,"26 233 грн.

Договорная"
СДАМ отличную 2к квартиру в ЖК Чудо-Город (ЖД вокзал)!,https://www.olx.ua/obyavlenie/sdam-otlichnuyu-2k-kvartiru-v-zhk-chudo-gorod-zhd-vokzal-IDABM36.html#46ca7e50de, Приморский,3  июль,"13 000 грн.

Договорная"
На уровень выше,https://www.olx.ua/obyavlenie/na-uroven-vyshe-IDAQUdS.html#46ca7e50de, Киевский,3  июль,10 000 грн.
1 ком Бочарова,https://www.olx.ua/obyavlenie/1-kom-bocharova-IDAQTYi.html#46ca7e50de, Суворовский,3  июль,4 500 грн.
Б. Арнаутская отличная однокомнатная квартира в центре.,https://www.olx.ua/obyavlenie/b-arnautskaya-otlichnaya-odnokomnatnaya-kvartira-v-tsentre-IDABriC.html#46ca7e50de, Приморский,3  июль,7 500 грн.
Просторная трехкомнатная квартира в самом центре р-н Семинарской,https://www.olx.ua/obyavlenie/prostornaya-trehkomnatnaya-kvartira-v-samom-tsentre-r-n-seminarskoy-IDAQTDG.html#46ca7e50de, Приморский,3  июль,15 740 грн.
сдам для 1 девушки с ремонтом комнату в квар с хозяйкой Архитекторская,https://www.olx.ua/obyavlenie/sdam-dlya-1-devushki-s-remontom-komnatu-v-kvar-s-hozyaykoy-arhitektorskaya-IDAQTvc.html#46ca7e50de, Киевский,3  июль,2 500 грн.
ЖД Вокзал 2500 все включено для 1 мужчины,https://www.olx.ua/obyavlenie/zhd-vokzal-2500-vse-vklyucheno-dlya-1-muzhchiny-IDAQTkY.html#46ca7e50de, Приморский,3  июль,2 500 грн.
Сдам однокомнатную квартиру на Французском бульваре.,https://www.olx.ua/obyavlenie/sdam-odnokomnatnuyu-kvartiru-na-frantsuzskom-bulvare-IDAO7ZS.html#46ca7e50de, Приморский,3  июль,"23 610 грн.

Договорная"
Сдам комнату для 1 чел- ул.Краснослободская,https://www.olx.ua/obyavlenie/sdam-komnatu-dlya-1-chel-ul-krasnoslobodskaya-IDAQREO.html#46ca7e50de, Суворовский,3  июль,2 500 грн.
"Сдам 2-х комн квартиру на Радужном,мебель,техника.Цена 7000гр",https://www.olx.ua/obyavlenie/sdam-2-h-komn-kvartiru-na-raduzhnom-mebel-tehnika-tsena-7000gr-IDAtoFC.html#46ca7e50de, Киевский,3  июль,7 000 грн.
"Сдается 2-комн. кв-ра,  Альтаир-2",https://www.olx.ua/obyavlenie/sdaetsya-2-komn-kv-ra-altair-2-IDzdRUy.html#46ca7e50de, Киевский,3  июль,"13 117 грн.

Договорная"
"аренда 2 комн.в жк""Патриций"",Маразлиевская,парк Шевченко",https://www.olx.ua/obyavlenie/arenda-2-komn-v-zhk-patritsiy-marazlievskaya-park-shevchenko-IDAQQQu.html#46ca7e50de, Приморский,3  июль,20 987 грн.
"Сдам 1к. кв. ул. Дюковская, Ж/К ""Нагорный""",https://www.olx.ua/obyavlenie/sdam-1k-kv-ul-dyukovskaya-zh-k-nagornyy-IDviwS0.html#46ca7e50de, Приморский,3  июль,9 182 грн.
сдам свою 3-х комнатную кв. на Фонтанской дороге 8-я ст. Б.Фонтана,https://www.olx.ua/obyavlenie/sdam-svoyu-3-h-komnatnuyu-kv-na-fontanskoy-doroge-8-ya-st-b-fontana-IDAQQ7E.html#46ca7e50de;promoted, Киевский,3  июль,13 000 грн.
Сдам 1к. кв. ул. Тираспольская/Колонтаевская/Таврия,https://www.olx.ua/obyavlenie/sdam-1k-kv-ul-tiraspolskaya-kolontaevskaya-tavriya-IDzF19Q.html#46ca7e50de, Приморский,3  июль,6 000 грн.
Аренда 1комнатной квартиры,https://www.olx.ua/obyavlenie/arenda-1komnatnoy-kvartiry-IDAQPiM.html#46ca7e50de, Малиновский,3  июль,3 500 грн.
"1 комн. квартира Марш.Жукова/""Радужный""",https://www.olx.ua/obyavlenie/1-komn-kvartira-marsh-zhukova-raduzhnyy-IDA9Gcs.html#46ca7e50de, Киевский,3  июль,6 000 грн.
1-к квартира в центре 16 Жемчужина (пл. Толстого),https://www.olx.ua/obyavlenie/1-k-kvartira-v-tsentre-16-zhemchuzhina-pl-tolstogo-IDkSg0i.html#46ca7e50de, Приморский,3  июль,11 805 грн.
"Сдам: на Вильямса, долгосрочно, 2 комн.квартиру",https://www.olx.ua/obyavlenie/sdam-na-vilyamsa-dolgosrochno-2-komn-kvartiru-IDAQOIE.html#46ca7e50de, Приморский,3  июль,7 500 грн.
Сдаётся 2-х.кв.Королёва_ремонт,https://www.olx.ua/obyavlenie/sdaetsya-2-h-kv-koroleva-remont-IDAQOBs.html#46ca7e50de, Киевский,3  июль,"6 999 грн.

Договорная"
"Стильная 2 комн.ЖК""Белый Парус"",ул.Литературная",https://www.olx.ua/obyavlenie/stilnaya-2-komn-zhk-belyy-parus-ul-literaturnaya-IDyTnkY.html#46ca7e50de, Приморский,3  июль,23 610 грн.
Сдам 1ком.Днепрдорога/Десантный (от хозяина),https://www.olx.ua/obyavlenie/sdam-1kom-dneprdoroga-desantnyy-ot-hozyaina-IDxjm3o.html#46ca7e50de, Суворовский,3  июль,4 200 грн.
3х ком квартира в Мукачевском переулке.,https://www.olx.ua/obyavlenie/3h-kom-kvartira-v-mukachevskom-pereulke-IDr9ECQ.html#46ca7e50de, Приморский,3  июль,47 220 грн.
"2 комн - ЦЕНТР, Дерибасовская, 16 - долгосрочно !!! Без посредника !!!",https://www.olx.ua/obyavlenie/2-komn-tsentr-deribasovskaya-16-dolgosrochno-bez-posrednika-IDgKCI6.html#46ca7e50de;promoted, Приморский,3  июль,"6 999 грн.

Договорная"
"Сдам 1 комн. квартиру в 5 Жемчужине, Ильфа Петрова/Архитекторская",https://www.olx.ua/obyavlenie/sdam-1-komn-kvartiru-v-5-zhemchuzhine-ilfa-petrova-arhitektorskaya-IDAQNNo.html#46ca7e50de, Киевский,3  июль,7 500 грн.
Сдам 3ком на Дом мебели,https://www.olx.ua/obyavlenie/sdam-3kom-na-dom-mebeli-IDy0NW4.html#46ca7e50de, Малиновский,3  июль,10 000 грн.
"Комната в Коммунальной кв-ре Бунина, 1 (Без Маклера)",https://www.olx.ua/obyavlenie/komnata-v-kommunalnoy-kv-re-bunina-1-bez-maklera-IDhn4qa.html#46ca7e50de;promoted, Приморский,3  июль,"3 450 грн.

Договорная"
Аренда отличной 2 к КВАРТИРЫ в ЖК Ланжерон,https://www.olx.ua/obyavlenie/arenda-otlichnoy-2-k-kvartiry-v-zhk-lanzheron-IDzMkHU.html#46ca7e50de, Приморский,3  июль,26 233 грн.
сдам кухня студ и спал в аркадийском переулке ж\к Аркадия Хиллс,https://www.olx.ua/obyavlenie/sdam-kuhnya-stud-i-spal-v-arkadiyskom-pereulke-zh-k-arkadiya-hills-IDAQNhC.html#46ca7e50de, Приморский,3  июль,11 805 грн.
сдам кухня студ и 2 разд спальни 5я фонтана ж\к Перекресток,https://www.olx.ua/obyavlenie/sdam-kuhnya-stud-i-2-razd-spalni-5ya-fontana-zh-k-perekrestok-IDAQN6A.html#46ca7e50de, Приморский,3  июль,18 407 грн.
сдам кухня студ и спал на асташкина льва толстого ж\к 16 я жемчужина,https://www.olx.ua/obyavlenie/sdam-kuhnya-stud-i-spal-na-astashkina-lva-tolstogo-zh-k-16-ya-zhemchuzhina-IDAQMYK.html#46ca7e50de, Приморский,3  июль,11 805 грн.
Сдам 1 ком.квартиру в Альтаире-1,https://www.olx.ua/obyavlenie/sdam-1-kom-kvartiru-v-altaire-1-IDAadZ6.html#46ca7e50de, Киевский,3  июль,9 000 грн.
Сдам 3 разд Вильямса маг. Сильпо,https://www.olx.ua/obyavlenie/sdam-3-razd-vilyamsa-mag-silpo-IDAoWvK.html#46ca7e50de, Киевский,3  июль,13 117 грн.
ЖК Радужный 1 к квартира все новое,https://www.olx.ua/obyavlenie/zhk-raduzhnyy-1-k-kvartira-vse-novoe-IDAQLpv.html#46ca7e50de, Киевский,3  июль,"7 500 грн.

Договорная"
Адмиральский проспект\Судостроительна 2х комн. раздельная,https://www.olx.ua/obyavlenie/admiralskiy-prospekt-sudostroitelna-2h-komn-razdelnaya-IDAJyFi.html#46ca7e50de, Приморский,3  июль,8 500 грн.
Центр. Дерибасовская\Пушкинская,https://www.olx.ua/obyavlenie/tsentr-deribasovskaya-pushkinskaya-IDA7zJo.html#46ca7e50de, Приморский,3  июль,15 804 грн.
Дюковская/Дидрихсона комнаты раздельные,https://www.olx.ua/obyavlenie/dyukovskaya-didrihsona-komnaty-razdelnye-IDA7I0G.html#46ca7e50de, Приморский,3  июль,10 493 грн.
Сдам супер квартиру 1 комн+кухня-студия на 10 ст Фонтана.28 Жемчужина,https://www.olx.ua/obyavlenie/sdam-super-kvartiru-1-komn-kuhnya-studiya-na-10-st-fontana-28-zhemchuzhina-IDASqko.html#32391f7c83;promoted, Приморский,4  июль,13 171 грн.
"2 комн - ЦЕНТР, Дерибасовская, 16 - долгосрочно !!! Без посредника !!!",https://www.olx.ua/obyavlenie/2-komn-tsentr-deribasovskaya-16-dolgosrochno-bez-posrednika-IDgKCI6.html#32391f7c83;promoted, Приморский,3  июль,"6 999 грн.

Договорная"
"Сдам кухня гостиная+спальня ЖК 28 жемчужина, 10 ст. Фонтана",https://www.olx.ua/obyavlenie/sdam-kuhnya-gostinaya-spalnya-zhk-28-zhemchuzhina-10-st-fontana-IDAPOY0.html#32391f7c83;promoted, Приморский,Вчера 13:31,13 201 грн.
Сдам 1 комнатную квартиру М.Жукова \ Епицентр,https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-m-zhukova-epitsentr-IDAP4W8.html#32391f7c83;promoted, Киевский,Вчера 16:48,5 500 грн.
Студия и спальня в новострое на Генуэзской Аркадия,https://www.olx.ua/obyavlenie/studiya-i-spalnya-v-novostroe-na-genuezskoy-arkadiya-IDAKsOv.html#32391f7c83;promoted, Приморский,Вчера 14:17,13 201 грн.
Уже свободна! Центр. Спиридоновская (бывшая Горького)р- пл. Л.Толстого,https://www.olx.ua/obyavlenie/uzhe-svobodna-tsentr-spiridonovskaya-byvshaya-gorkogor-pl-l-tolstogo-IDxnoZC.html#32391f7c83, Приморский,3  июль,8 500 грн.
Центр. Старопортофранковская 2х комн раздельная можно иностранцам..,https://www.olx.ua/obyavlenie/tsentr-staroportofrankovskaya-2h-komn-razdelnaya-mozhno-inostrantsam-IDxtwuu.html#32391f7c83, Приморский,3  июль,10 533 грн.
Сдам 1 ком кв 7ст.Б.Фонтана!,https://www.olx.ua/obyavlenie/sdam-1-kom-kv-7st-b-fontana-IDAQJZa.html#32391f7c83, Приморский,3  июль,7 000 грн.
Сдам 3к.кв. чешка Космонавтов\И.Рабина,https://www.olx.ua/obyavlenie/sdam-3k-kv-cheshka-kosmonavtov-i-rabina-IDAQJKy.html#32391f7c83, Малиновский,3  июль,9 000 грн.
"От хозяина, без комиссии 2к. квартира в новом доме в центре Одессы",https://www.olx.ua/obyavlenie/ot-hozyaina-bez-komissii-2k-kvartira-v-novom-dome-v-tsentre-odessy-IDAQJh4.html#32391f7c83, Приморский,3  июль,14 487 грн.
"сдам 2к квартиру 110квм, Вузовский, ЖК Стрекоза, Таврия-В",https://www.olx.ua/obyavlenie/sdam-2k-kvartiru-110kvm-vuzovskiy-zhk-strekoza-tavriya-v-IDygtLi.html#32391f7c83, Киевский,3  июль,"9 000 грн.

Договорная"
Сдам 1к.кв. Манежная/Ольгиевская,https://www.olx.ua/obyavlenie/sdam-1k-kv-manezhnaya-olgievskaya-IDAInsS.html#32391f7c83;promoted, Приморский,2  июль,6 000 грн.
